Rows, MySQL, Postgres, Tarantool
1000, 5783552,  4685824,  2840768
5000, 27852800, 23052288, 14074304
10000,55148544, 46014464, 28116222
15000,82444288, 68968448, 42158140
20000,109740032, 91947008, 56200058
30000,164347904, 137879552, 84283886
